Email,CountryCode,LocalNumber,FirstName,LastName
zmiller@joseph.co.za,27,478779018,Deon,Van Den Berg
oberholzer.gugulethu@yahoo.com,27,459785096,Louis,Koen
elizabeth37@yahoo.com,27,532444846,Bradley,Snyman
kmdluli@webmail.co.za,27,317623281,Nonhlanhla,Dube
kgomotso.bennett@olivier.web.za,27,497752263,Ernest,Moore
frans34@yahoo.com,27,119356841,Mandla,Wolmarans
ecele@mathebula.fs.school.za,27,535088235,Morné,Oliver
naicker.kgomotso@grobler.ecape.school.za,27,354480110,Brian,Andrews
deborah.ferreira@vodamail.co.za,27,240441441,nompumelelo,Ndlovu
bongani29@yahoo.com,27,222167327,Henry,Wright
pierre.ahmed@magagula.co.za,27,244304293,Carla,Reddy
swartz.mogamat@gmail.com,27,458476623,nompumelelo,Matthews
cassim.karin@hotmail.com,27,544594302,Gary,Mthombeni
khan.palesa@hlophe.co.za,27,572535294,Ntokozo,Street
omaharaj@manuel.org.za,27,539345605,Rodney,Mogale
vcooper@vodamail.co.za,27,155724012,Louis,Moosa
nzimande.thandi@harrison.nw.school.za,27,532007265,Theresa,Fortuin
bezuidenhout.juanita@dejager.gp.school.za,27,272447657,Mario,Grobler
pierre.buys@webmail.co.za,27,283664814,Thulani,Van Wyk
adrian44@mnisi.nom.za,27,315924825,Bronwyn,Beukes
kim04@sibiya.nis.za,27,116657774,Colleen,Phillips
ebarnard@mpofu.ncape.school.za,27,431879860,Louise,Fisher
cronje.teboho@vodamail.co.za,27,534879163,Thabo,Kleynhans
roberts.nico@ngema.kzn.school.za,27,177690901,Dimakatso,Mkhabela
smoonsamy@samuels.agric.za,27,438623080,Nonkululeko,Kunene
sibiya.gabriel@gouws.wcape.school.za,27,271759174,Anton,Nieuwoudt
gdavid@cupido.co.za,27,454826168,mashudu,Kubheka
denise.wessels@yahoo.com,27,164817059,Clifford,Fredericks
vernon.hill@webmail.co.za,27,277450868,bulelwa,Kumalo
william.slabbert@vodamail.co.za,27,225262852,Nicola,Motloung
harmse.ursula@vodamail.co.za,27,428829159,Edwin,Bennett
botes.lerato@gmail.com,27,540826693,karabo,Morgan
christian20@yahoo.com,27,424834963,Dean,Lawrence
esamuels@swart.school.za,27,270870101,Lungile,Mogale
shawn46@vodamail.co.za,27,540223341,Jacobus,Taljaard
thando.parker@vodamail.co.za,27,474490789,Adriaan,Potgieter
monica09@muller.org.za,27,112872411,Warren,van Tonder
rmulaudzi@gmail.com,27,424356237,Personal,Viljoen
fikile.moodley@vodamail.co.za,27,412286978,refiloe,Msibi
bianca.mokone@turner.com,27,229408833,Donald,Molefe
jones.debbie@yahoo.com,27,561235800,Samuel,Swanepoel
naude.dimakatso@mudau.wcape.school.za,27,215730884,kelebogile,Nene
